hmm.accession	hmm.name	hmm.description	protein.name	secondary.name	author	e.val.threshold	hmm.coverage.threshold	target.coverage.threshold	literature.ref	database.ref	comment
PDLC00034	DruM2_00009	DNA cytosine methylase	DruM2|DruM	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Druantia variant V
PDLC00035	DruE3_00001	SNF2 family N-terminal domain	DruE3|DruE	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00036	DruE3_00002	SNF2 family N-terminal domain	DruE3|DruE	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00037	DruE3_00003	SNF2 family N-terminal domain	DruE3|DruE	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00038	DruH3_00001	Unknown function	DruH3|DruH	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00039	DruH3_00002	Unknown function	DruH3|DruH	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00040	DruH3_00003	Unknown function	DruH3|DruH	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00041	DruH3_00004	Unknown function	DruH3|DruH	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00042	DruH3_00005	Unknown function	DruH3|DruH	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00043	DruH3_00006	Unknown function	DruH3|DruH	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00044	DruH3_00007	Unknown function	DruH3|DruH	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00045	DruH3_00008	Unknown function	DruH3|DruH	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00046	DruH3_00009	Unknown function	DruH3|DruH	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00047	DruH3_00010	Unknown function	DruH3|DruH	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00048	DruH3_00011	Unknown function	DruH3|DruH	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00049	DruH3_00012	Unknown function	DruH3|DruH	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00050	DruH3_00013	Unknown function	DruH3|DruH	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00051	DruE4_00001	SNF2 family N-terminal domain	DruE4|DruE	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00052	DruF4_00001	Unknown function	DruF4|DruF	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00053	DruF4_00002	Unknown function	DruF4|DruF	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00054	DruF4_00003	Unknown function	DruF4|DruF	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00055	DruF4_00004	Unknown function	DruF4|DruF	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00056	DruL4_00001	Unknown function	DruL4|DruL	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00057	DruL4_00002	Unknown function	DruL4|DruL	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00058	DruK_00001	PD-(D/E)XK nuclease superfamily	DruK	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00059	DruK_00002	PD-(D/E)XK nuclease superfamily	DruK	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00060	DruK_00003	PD-(D/E)XK nuclease superfamily	DruK	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00061	GajA_00001	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00062	GajA_00002	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00063	GajA_00003	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00064	GajA_00004	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00065	GajA_00005	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00066	GajA_00006	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00067	GajA_00007	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00068	GajA_00008	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00069	GajA_00009	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00070	GajA_00010	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00071	GajA_00011	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00072	GajA_00012	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00073	GajA_00013	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00074	GajA_00014	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00075	GajA_00015	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00076	GajA_00016	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00077	GajA_00017	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00078	GajA_00018	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00079	GajA_00019	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00080	GajA_00020	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00081	GajA_00021	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00082	GajA_00022	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00083	GajA_00023	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00084	GajA_00024	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00085	GajA_00025	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00086	GajA_00026	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00087	GajA_00027	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00088	GajA_00028	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00089	GajA_00029	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00090	GajA_00030	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00091	GajA_00031	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00092	GajA_00032	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00093	GajA_00033	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00094	GajA_00034	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00095	GajA_00035	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant II
PDLC00096	GajA_00036	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant II
PDLC00097	GajA_00037	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant II
PDLC00098	GajA_00038	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant II
PDLC00099	GajA_00039	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant III
PDLC00100	GajA_00040	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant III
PDLC00101	GajA_00041	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant III
PDLC00102	GajA_00042	AAA ATPase domain	GajA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant III
PDLC00103	GajB_00001	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00104	GajB_00002	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00105	GajB_00003	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00106	GajB_00004	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00107	GajB_00005	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00108	GajB_00006	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00109	GajB_00007	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00110	GajB_00008	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00111	GajB_00009	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00112	GajB_00010	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00113	GajB_00011	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00114	GajB_00012	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00115	GajB_00013	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00116	GajB_00014	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00117	GajB_00015	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00118	GajB_00016	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00119	GajB_00017	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00120	GajB_00018	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00121	GajB_00019	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00122	GajB_00020	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00123	GajB_00021	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00124	GajB_00022	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00125	GajB_00023	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00126	GajB_00024	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00127	GajB_00025	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00128	GajB_00026	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00129	GajB_00027	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00130	GajB_00028	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00131	GajB_00029	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00132	GajB_00030	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00133	GajB_00031	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00134	GajB_00032	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00135	GajB_00033	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00136	GajB_00034	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00137	GajB_00035	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00138	GajB_00036	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00139	GajB_00037	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant II
PDLC00140	GajB_00038	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant II
PDLC00141	GajB_00039	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant II
PDLC00142	GajB_00040	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant II
PDLC00143	GajB_00041	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant II
PDLC00144	GajB_00042	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant II
PDLC00145	GajB_00043	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant III
PDLC00146	GajB_00044	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant III
PDLC00147	GajB_00045	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant III
PDLC00148	GajB_00046	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant III
PDLC00149	GajB_00047	UrvD helicase	GajB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Gabija variant III
PDLC00150	HamA1_00001	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00151	HamA1_00002	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00152	HamA1_00003	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00153	HamA1_00004	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00154	HamA1_00005	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00155	HamA1_00006	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00156	HamA1_00007	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00157	HamA1_00008	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00158	HamA1_00009	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00159	HamA1_00010	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00160	HamA1_00011	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00161	HamA1_00012	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00162	HamA1_00013	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00163	HamA1_00014	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00164	HamA1_00015	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00165	HamA1_00016	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00166	HamA1_00017	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00167	HamA1_00018	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00168	HamA1_00019	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00169	HamA1_00020	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00170	HamA1_00021	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00171	HamA1_00022	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00172	HamA1_00023	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00173	HamA1_00024	DUF1837 domain	HamA1|HamA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00174	HamB1_00001	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00175	HamB1_00002	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00176	HamB1_00003	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00177	HamB1_00004	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00178	HamB1_00005	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00179	HamB1_00006	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00180	HamB1_00007	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00181	HamB1_00008	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00182	HamB1_00009	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00183	HamB1_00010	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00184	HamB1_00011	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00185	HamB1_00012	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00186	HamB1_00013	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00187	HamB1_00014	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00188	HamB1_00015	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00189	HamB1_00016	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00190	HamB1_00017	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00191	HamB1_00018	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00192	HamB1_00019	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00193	HamB1_00020	DEAD-box helicase	HamB1|HamB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
